2024-08-14T08:39:54.037Z [app] info: Method: GET, URL: /, IP: ::1
2024-08-14T08:39:54.053Z [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14T08:39:54.119Z [app] info: Method: GET, URL: /favicon.ico, IP: ::1
2024-08-14T08:40:06.559Z [app] info: Method: GET, URL: /, IP: ::1
2024-08-14T08:40:06.571Z [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14T08:40:07.232Z [app] info: Method: GET, URL: /, IP: ::1
2024-08-14T08:40:07.240Z [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14T08:40:10.505Z [app] info: Method: GET, URL: /send-sms, IP: ::1
2024-08-14T08:40:10.516Z [app] info: Method: GET, URL: /js/sms-script.js, IP: ::1
2024-08-14T08:40:10.518Z [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14T08:40:10.716Z [app] info: Method: POST, URL: /web/send-sms, IP: ::1
2024-08-14T08:40:19.372Z [app] info: Method: GET, URL: /, IP: ::1
2024-08-14T08:40:19.380Z [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14T08:41:14.447Z [app] info: Method: GET, URL: /, IP: ::ffff:172.50.0.134
2024-08-14T08:41:14.466Z [app] info: Method: GET, URL: /dist/styles.css, IP: ::ffff:172.50.0.134
2024-08-14T08:41:14.566Z [app] info: Method: GET, URL: /favicon.ico, IP: ::ffff:172.50.0.134
2024-08-14T08:41:29.639Z [app] info: Method: GET, URL: /, IP: ::ffff:172.50.0.134
2024-08-14T08:41:29.670Z [app] info: Method: GET, URL: /dist/styles.css, IP: ::ffff:172.50.0.134
2024-08-14T08:41:40.820Z [app] info: Method: GET, URL: /, IP: ::ffff:172.50.0.134
2024-08-14T08:41:40.845Z [app] info: Method: GET, URL: /dist/styles.css, IP: ::ffff:172.50.0.134
2024-08-14T08:42:00.535Z [app] info: Method: GET, URL: /send-sms, IP: ::ffff:172.50.0.134
2024-08-14T08:42:00.557Z [app] info: Method: GET, URL: /dist/styles.css, IP: ::ffff:172.50.0.134
2024-08-14T08:42:00.562Z [app] info: Method: GET, URL: /js/sms-script.js, IP: ::ffff:172.50.0.134
2024-08-14T08:42:00.687Z [app] info: Method: POST, URL: /web/send-sms, IP: ::ffff:172.50.0.134
2024-08-14T08:45:11.583Z [app] info: Method: GET, URL: /, IP: ::1
2024-08-14T08:45:46.173Z [app] info: Method: GET, URL: /, IP: ::1
2024-08-14T08:48:49.573Z [app] info: Method: GET, URL: /, IP: ::1
2024-08-14T08:51:16.616Z [app] info: Method: GET, URL: /, IP: ::1
2024-08-14T08:51:16.631Z [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 15:54:24 [app] info: Method: GET, URL: /, IP: ::1
2024-08-14 15:54:24 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 15:55:56 [app] info: Method: GET, URL: /, IP: ::1
2024-08-14 15:56:10 [app] info: Method: GET, URL: /, IP: ::1
2024-08-14 15:56:27 [app] info: Method: GET, URL: /, IP: ::1
2024-08-14 15:56:27 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 15:56:30 [app] info: Method: GET, URL: /send-sms, IP: ::1
2024-08-14 15:56:30 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 15:56:30 [app] info: Method: GET, URL: /js/sms-script.js, IP: ::1
2024-08-14 15:56:30 [app] info: Method: POST, URL: /web/send-sms, IP: ::1
2024-08-14 15:57:15 [app] info: Method: GET, URL: /send-sms, IP: ::1
2024-08-14 15:57:15 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 15:57:15 [app] info: Method: GET, URL: /js/sms-script.js, IP: ::1
2024-08-14 15:57:15 [app] info: Method: POST, URL: /web/send-sms, IP: ::1
2024-08-14 15:57:48 [app] info: Method: GET, URL: /api-docs, IP: ::1
2024-08-14 15:57:48 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-14 15:57:48 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-14 15:57:48 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-14 15:57:48 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-14 15:57:48 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-14 15:57:48 [app] info: Method: GET, URL: /api-docs/favicon-32x32.png, IP: ::1
2024-08-14 15:57:48 [app] info: Method: GET, URL: /api-docs/favicon-16x16.png, IP: ::1
2024-08-14 15:58:53 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-14 15:58:53 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-14 15:58:53 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-14 15:58:53 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-14 15:58:53 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-14 15:59:52 [app] info: Method: GET, URL: /api-docs/, IP: ::1
2024-08-14 15:59:52 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::1
2024-08-14 15:59:52 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::1
2024-08-14 15:59:52 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::1
2024-08-14 15:59:52 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::1
2024-08-14 16:01:07 [app] info: Method: GET, URL: /api-docss, IP: ::1
2024-08-14 16:01:07 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 16:01:08 [app] info: Method: GET, URL: /, IP: ::1
2024-08-14 16:01:08 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 16:01:38 [app] info: Method: GET, URL: /send-sms, IP: ::1
2024-08-14 16:01:38 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 16:01:38 [app] info: Method: GET, URL: /js/sms-script.js, IP: ::1
2024-08-14 16:01:38 [app] info: Method: POST, URL: /web/send-sms, IP: ::1
2024-08-14 16:02:31 [app] info: Method: GET, URL: /send-sms, IP: ::1
2024-08-14 16:02:31 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 16:02:31 [app] info: Method: GET, URL: /js/sms-script.js, IP: ::1
2024-08-14 16:02:31 [app] info: Method: POST, URL: /api/sms/send, IP: ::1
2024-08-14 16:03:48 [app] info: Method: GET, URL: /send-sms, IP: ::1
2024-08-14 16:03:48 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 16:03:48 [app] info: Method: GET, URL: /js/sms-script.js, IP: ::1
2024-08-14 16:03:48 [app] info: Method: GET, URL: /api/sms/list, IP: ::1
2024-08-14 16:04:50 [app] info: Method: GET, URL: /send-sms, IP: ::1
2024-08-14 16:04:50 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 16:04:50 [app] info: Method: GET, URL: /js/sms-script.js, IP: ::1
2024-08-14 16:04:50 [app] info: Method: GET, URL: /api/sms/list, IP: ::1
2024-08-14 16:43:49 [app] info: Method: GET, URL: /api/brands/BYD, IP: ::1
2024-08-14 16:43:49 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 16:44:21 [app] info: Method: GET, URL: /api/brands, IP: ::1
2024-08-14 16:44:21 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 16:44:26 [app] info: Method: GET, URL: /api/, IP: ::1
2024-08-14 16:44:26 [app] info: Method: GET, URL: /dist/styles.css, IP: ::1
2024-08-14 16:45:19 [app] info: Method: GET, URL: /api/brands/BYD, IP: ::1
2024-08-14 16:46:00 [app] info: Method: GET, URL: /api/brands/name/BYD, IP: ::1
2024-08-14 16:47:08 [app] info: Method: GET, URL: /api/brands/name/BYD, IP: ::1
2024-08-14 16:52:50 [app] info: Method: GET, URL: /api/brands/name/BYD, IP: ::1
2024-08-14 16:58:51 [app] info: Method: GET, URL: /api/brands/name/BYD, IP: ::1
2024-08-14 16:59:31 [app] info: Method: GET, URL: /api/brands/name/BYD, IP: ::1
